"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"gene11320",0.772113022113058,5.07943925233645,4.78528827896235,3.13652065998702e-06,0.000200787373100765,4.25097447037397
"gene10423",-0.68140868140862,6.83177570093458,-4.76269948547152,3.47203600444275e-06,0.000218774624677845,4.15617152778838
"gene5272",0.966625716625782,8.28971962616822,4.75541110715751,3.58750045371871e-06,0.000224872749794295,4.12566006422423
"gene5175",-0.574324324324277,8.60280373831776,-4.75036178504758,3.66965738243246e-06,0.000228830707759454,4.10454410372896
"gene3561",-0.536650286650237,6.2803738317757,-4.7427342758381,3.79721705993951e-06,0.000235152595280513,4.07268065793503
"gene3104",-0.859336609336657,9.54205607476636,-4.7357410340216,3.91792205051862e-06,0.000240572407540774,4.04350316613527
"gene9194",-0.619369369369426,6.73831775700935,-4.72532232339737,4.10464406961777e-06,0.000248238147627386,4.00009834160718
"gene9976",-0.77825552825542,7.0981308411215,-4.70859225840677,4.42256911078695e-06,0.000264804075862293,3.93056198259277
"gene7188",-0.8302620802621,9.66822429906542,-4.7015909632711,4.5625526610875e-06,0.000266254359848449,3.90152129849845
"gene7189",-0.8302620802621,9.66822429906542,-4.7015909632711,4.5625526610875e-06,0.000266254359848449,3.90152129849845
"gene3120",0.899058149058165,7.74299065420561,4.70075593205324,4.57953074271949e-06,0.000266254359848449,3.8980600089018
"gene3728",-0.58640458640456,6.51869158878505,-4.69935158097277,4.60822189530154e-06,0.000266634377451702,3.8922399544102
"gene10215",-0.548116298116263,5.3785046728972,-4.68932192603437,4.81822910451925e-06,0.000277451613745881,3.85071504880452
"gene11758",-0.527027027027002,5.13551401869159,-4.68778964602556,4.85111486052168e-06,0.000278015082601802,3.84437742247559
"gene7384",-0.682841932841974,7.40654205607477,-4.68659629991883,4.87687624046549e-06,0.000278166850966835,3.83944281692625
"gene9708",-0.550368550368498,5.71028037383178,-4.68156123841134,4.98703061301277e-06,0.000280462212278545,3.81863356481537
"gene6914",-0.803849303849214,7.00467289719626,-4.67718046841313,5.08481904665821e-06,0.000283313876048757,3.80054319314918
"gene9150",-0.588656838656809,7.35046728971963,-4.67015272560655,5.24556680549384e-06,0.000289588974789534,3.77155090510479
"gene7601",-0.557330057330006,6.64485981308411,-4.66352736366409,5.40158942759283e-06,0.000296106422118772,3.7442510596509
"gene8978",-0.715806715806611,7.12616822429907,-4.65823633761907,5.52939268079782e-06,0.000301114212277836,3.72247199626556
"gene8075",-1.02108927108923,7.05140186915888,-4.64810904139954,5.78218974326698e-06,0.000310965100813569,3.68084187675429
"gene4681",-0.625307125307089,7.97663551401869,-4.64788913207146,5.7878007961977e-06,0.000310965100813569,3.6799387173851
"gene5488",-0.661547911547816,7.22429906542056,-4.64082396904189,5.97088891043741e-06,0.00031796304441201,3.65094088572512
"gene5406",-0.598484848484856,7.43457943925234,-4.61456599650486,6.70150402939894e-06,0.000349145458847689,3.54348467188868
"gene9857",-0.541769041769048,6.26168224299065,-4.61279802270954,6.75367533345101e-06,0.000349183486833756,3.53626743401832
"gene152",-0.51556101556104,11.5373831775701,-4.60998375054555,6.83752978514221e-06,0.00035016881261356,3.52478364995877
"gene4069",0.92485667485667,7.39719626168224,4.6013620635781,7.10071041769902e-06,0.000357734364236643,3.48963807238363
"gene8094",-0.614455364455336,6.19626168224299,-4.57369809634739,8.01266410747659e-06,0.000396841203841485,3.37723195600104
"gene2140",0.64352989352984,8.42990654205608,4.55619840902282,8.64668107700208e-06,0.000417922918721767,3.30641305541852
"gene3655",0.586199836199839,6.92056074766355,4.55063480021046,8.85817328335304e-06,0.000424733527749617,3.28394457148817
"gene2652",0.5859950859952,7.85981308411215,4.54691264444853,9.002434637707e-06,0.000427532570247667,3.26892533906551
"gene9496",-0.597256347256349,5.29906542056075,-4.54681567116032,9.006223122668e-06,0.000427532570247667,3.26853417814014
"gene6869",0.736486486486535,7.50934579439252,4.54460166083068,9.09313696666428e-06,0.000427532570247667,3.25960539529393
"gene7559",-0.699426699426624,7.48598130841121,-4.54278087517385,9.16521837340242e-06,0.000427532570247667,3.25226510948943
"gene8622",-0.51719901719897,5.55140186915888,-4.52354536716362,9.96107275295324e-06,0.00045905685479023,3.1748672333562
"gene5158",-0.511466011465979,7.75233644859813,-4.52190957938139,1.00317368350503e-05,0.00045905685479023,3.1682977909374
"gene10782",-0.53685503685502,6.2196261682243,-4.51291623237352,1.042893143127e-05,0.000473630904812585,3.13221482578577
"gene2687",0.51658476658481,9.26635514018692,4.50250311870898,1.09077270111218e-05,0.000489830203652427,3.09050948524649
"gene530",-0.516175266175255,10.8551401869159,-4.48684365745904,1.16677401134197e-05,0.000516254603915465,3.02794181689058
"gene6078",-0.51515151515149,6.6588785046729,-4.45052534354787,1.36312504999585e-05,0.000588000357587816,2.88352531190673
"gene5428",0.61036036036031,8.58878504672897,4.442471095037,1.41078205507032e-05,0.00060638435831326,2.85163003218656
"gene7794",0.684889434889477,5.70093457943925,4.42676350717654,1.50836664854037e-05,0.00064162017825876,2.78956499445529
"gene7841",-0.51392301392307,7.02336448598131,-4.42602409361839,1.51311647035581e-05,0.00064162017825876,2.78664786395828
"gene1232",-0.591932841932849,9.3785046728972,-4.38396744974142,1.80822662417146e-05,0.000745274226777519,2.62139346450115
"gene11151",-0.713963963963961,6.67289719626168,-4.37976415083783,1.84058506681987e-05,0.00075444662196177,2.60494954322895
"gene7620",-0.602784602784516,7.1588785046729,-4.37341005868299,1.8905575838931e-05,0.000761891330566693,2.58011637403496
"gene7661",0.542997542997516,6.10280373831776,4.37187194185224,1.90284846446628e-05,0.000761891330566693,2.57410960094636
"gene9814",-0.586199836199857,8.07943925233645,-4.37014554562599,1.91673512826568e-05,0.000761891330566693,2.56736964427124
"gene8333",-0.64496314496312,6.64485981308411,-4.34877021597664,2.0969274150633e-05,0.000809337484093391,2.48410320515968
"gene5246",0.535831285831263,8.47663551401869,4.34242630744305,2.15345864649149e-05,0.000823942655768842,2.45945651115542
"gene1958",0.551597051597199,9.15420560747664,4.33375240218582,2.23312104166899e-05,0.000842495665720574,2.42580626513007
